EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5138153,MINNEHAHA CO.,BRANDON,03/06/2000,1300,Wildfire, , ,0,0,50000,0,SD,CST, ,1092878,C,99,FSD,0,0,NEWSPAPER, , , ,3,NW,3,NW,BRANDON,03/06/2000,1800, , , , ,"","A grass fire of unknown origin was exacerbated by dry conditions and strong winds, and burned 1500 acres of grassland  northwest and north of Brandon. Several homes were threatened by the fire but no homes were damaged, although farmland and some equipment burned.",11
5135793,ST. CLAIR CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,20000,0,MO,CST, ,1092215,C,185,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",12
5135787,CAMDEN CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,850000,0,MO,CST, ,1092215,C,29,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",13
5135790,MILLER CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,20000,0,MO,CST, ,1092215,C,131,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",14
5135789,MORGAN CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,20000,0,MO,CST, ,1092215,C,141,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",15
5135788,DALLAS CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,1,30000,0,MO,CST, ,1092215,C,59,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",16
5135792,HICKORY CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,20000,0,MO,CST, ,1092215,C,85,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",17
5137171,LACLEDE CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,350000,0,MO,CST, ,1092215,C,105,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",18
5135791,BENTON CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,20000,0,MO,CST, ,1092215,C,15,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",19
5135794,PHELPS CO.,COUNTYWIDE,03/08/2000,800,Wildfire, , ,0,0,10000,0,MO,CST, ,1092215,C,161,SGF,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,03/10/2000,1800, , , , ,"","High winds gusting to around 40 mph on March 8th combined with low humidity and dry brush to create extremely hazardous fire conditions in central and south central Missouri. The ongoing drought over the region contributed to the overall dry surface conditions. Afternoon humidity levels dropped to around 20 percent on the afternoon of the 8th. Cooler temperatures and higher humidity levels on the 9th and 10th allowed fire crews to get control of the fires by the evening of the 10th.

More than 17 residences and 31 structures were destroyed by more than 70 separate fires. The largest number of fires and structural damage occurred in the Camden and northern Laclede county areas. Local officials reported that 44 fires destroyed 15 homes and 16 outbuildings south of the Lake of the Ozarks. The hardest hit area was the Sunrise Beach area in Camden County. Forced evacuations were required in many areas. Over 250 firefighters and 75 pieces of equipment were dispatched from surrounding areas in Missouri. One firefighter was injured in northern Dallas County.",20
5135383,LYON CO.,KUTTAWA,03/08/2000,1545,Wildfire, , ,0,0,0,0,KY,CST, ,1091957,C,143,PAH,0,0,NEWSPAPER, , , , , , , ,KUTTAWA,03/08/2000,1750, , , , ,"A period of windy, dry, and mild weather resulted in high fire danger during the normal spring fire season, prior to the green-up of forest fuels. A fire burned about 50 acres of woods near Lake Barkley in the vicinity of Kuttawa. About 80 firefighters from Lyon and Caldwell Counties were hampered by steep, rugged terrain. No homes were damaged, and there were no injuries. During the 10-day period leading up to the fire, only one quarter inch of rain fell at Paducah.","",21
5136362,ROCKINGHAM CO.,WEST PORTION,03/10/2000,0,Wildfire, , ,0,0,0,0,VA,EST, ,1092485,C,165,LWX,0,0,PARK/FOREST SERVICE, , , , , , , ,WEST PORTION,03/14/2000,2359, , , , ,"","An arson fire began on the 10th in George Washington National Forest west of Harrisonburg.  Because of dry and windy conditions the fire quickly spread, growing to 390 acres before it could be controlled on the 14th.",22
5135668,MANATEE CO.,PALMETTO,03/11/2000,1400,Wildfire, , ,0,0,20000,0,FL,EST, ,1092659,C,81,TBW,0,0,NEWSPAPER, , , , , , , ,PALMETTO,03/11/2000,1800, , , , ,"A wildfire, which ignited near the intersection of Canal Road and 33rd Street, consumed up to 40 acres of brush and timber in Palmetto.  The wildfire also consumed a storage building, several junked cars and tires.","",23
5136479,LEE CO.,FT MYERS,03/11/2000,1537,Wildfire, , ,0,0,0,0,FL,EST, ,1092657,C,71,TBW,0,0,NEWSPAPER, , , ,2,NE,2,NE,FT MYERS,03/11/2000,2000, , , , ,"A wildfire consumed 65 to 70 acres of brush and timber at Palm Creek Road in Ft Myers.","",24
5134291,MAYAGUEZ CO.,CENTRAL PORTION,03/14/2000,1000,Wildfire, , ,0,0,1000000,1000000,XX,AST, ,1092071,C,97,SJU,0,0,EMERGENCY MANAGER, , , , , , , ,CENTRAL PORTION,03/18/2000,1000, , , , ,"","An man made fire on March 14, near the Maricao Reserve Forest in San German, went out of control  and expanded  to cover near 300 acres. Drier weather conditions and strong gusty winds helped the fire to spread out.  200 acres were located in the Maricao Reserve Forest and 100 acres were private. The fire last until the morning of March 18.  To extinct the fire 68,000 gallons of waters were used.",25
5136478,POLK CO.,MULBERRY,03/14/2000,1358,Wildfire, , ,0,0,75000,0,FL,EST, ,1092656,C,105,TBW,0,0,NEWSPAPER, , , , , , , ,MULBERRY,03/14/2000,1500, , , , ,"A wildfire consumed five acres of brush and trees in Mulberry.  The fire also destroyed a pole barn, a cinderblock storage shed and a 30 foot travel trailer.","",26
5136477,CITRUS CO.,CRYSTAL RIVER,03/15/2000,1245,Wildfire, , ,0,0,0,0,FL,EST, ,1092655,C,17,TBW,0,0,NEWSPAPER, , , ,1,NW,1,NW,CRYSTAL RIVER,03/15/2000,1900, , , , ,"A wildfire consumed nearly 600 acres of brush and timber along the U.S. Highway 19 corridor between Crystal River and County Road 488.","",27
5136943,HONOLULU CO.,WAIANAE,03/15/2000,1400,Wildfire, , ,0,0,0,0,HI,HST, ,1092583,C,3,HFO,0,0,NEWSPAPER, , , ,2,NE,2,NE,WAIANAE,03/21/2000,1800, , , , ,"","A brush fire charred 1500 acres in leeward Oahu over a six-day period.  Over that time, the fire was contained several times, only to reignite.  Dry conditions in the area were primarily responsible for allowing smoldering embers to repeatedly flare up into significant blazes over the six days.  No injuries or serious property damage were reported.

The cause of the fire was not under investigation.  Unless there is evidence of arson, natural causes for these types of fires are assumed, according to a fire department spokesman.",28
5132491,HENDRY CO.,LA BELLE,03/16/2000,1430,Wildfire, , ,0,1,0,0,FL,EST, ,1091257,C,51,MFL,0,0,EMERGENCY MANAGER, , , , , , , ,LA BELLE,03/16/2000,2030, , , , ,"A wildfire of unknown acreage caused evacuations and injured one firefighter.","",29
5136942,HAWAII CO.,KAMUELA,03/20/2000,1125,Wildfire, , ,0,0,0,0,HI,HST, ,1092582,C,1,HFO,0,0,NEWSPAPER, , , ,3,S,3,S,KAMUELA,03/20/2000,2000, , , , ,"","A brush fire burned about 850 acres in the Puukapu Farm Lots subdivision near Waimea, forcing 50 residents to flee their homes.  Three small structures, all of them utility-type sheds, were destroyed.  Drought conditions in the area, along with 40- to 45-mile-per-hour winds and the heat of the day, contributed to the severity of the blaze.

The fire started from someone repairing a vehicle in the area, but exactly how it began was not clear.",30
5136914,PINELLAS CO.,CLEARWATER,03/23/2000,1042,Wildfire, , ,0,0,5000,0,FL,EST, ,1092658,C,103,TBW,0,0,NEWSPAPER, , , ,4,E,4,E,CLEARWATER,03/23/2000,1042, , , , ,"A wildfire consumed ten to fifteen acres of brush and timber on the east side of McMullen Park near the intersection of U.S. Highway 19 and State Road 60 in Clearwater.  One home incurred minor damage from the wildfire.","",31
5136070,BROWN CO.,ABERDEEN ARPT,03/29/2000,1130,Wildfire, , ,0,0,0,0,SD,CST, ,1092693,C,13,ABR,0,0,NEWSPAPER, , , ,1,S,1,S,ABERDEEN ARPT,03/29/2000,1500, , , , ,"","Due to the extremely dry conditions and increasing winds, a controlled burn on a field south of the Aberdeen Airport leaped out of bounds and spread within yards of residential property on south Melgaard Road.  Twenty acres of land were burned.",32
5139539,LEE CO.,CAPE CORAL,04/03/2000,800,Wildfire, , ,0,0,0,0,FL,EST, ,1093359,C,71,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,CAPE CORAL,04/03/2000,1400, , , , ,"Wildfires ignited and burned 100 acres of brush and timber in Cape Coral.","",33
5139540,LEE CO.,FT MYERS,04/03/2000,1300,Wildfire, , ,0,0,5000,0,FL,EST, ,1093360,C,71,TBW,0,0,EMERGENCY MANAGER, , , ,15,S,15,S,FT MYERS,04/03/2000,1515, , , , ,"Wildfires ignited and burned over 30 acres and destroyed one out building in San Carlos.","",34
5139627,LEE CO.,FT MYERS,04/03/2000,1500,Wildfire, , ,0,0,10000,0,FL,EST, ,1093361,C,71,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,FT MYERS,04/03/2000,1611, , , , ,"Wildfires burned two acres of brush and caused $10,000 dollars in damage to an apartment building in Ft Myers.","",35
5141792,POLK CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,0,50000,0,MO,CST, ,1093853,C,167,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",36
5141799,WEBSTER CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,0,5000,0,MO,CST, ,1093853,C,225,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",37
5141798,CHRISTIAN CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,0,5000,0,MO,CST, ,1093853,C,43,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",38
5141796,BARRY CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,0,5000,0,MO,CST, ,1093853,C,9,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",39
5141797,HOWELL CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,0,20000,0,MO,CST, ,1093853,C,91,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",40
5141795,TANEY CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,0,5000,0,MO,CST, ,1093853,C,213,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",41
5141794,STONE CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,3,20000,0,MO,CST, ,1093853,C,209,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",42
5141793,CAMDEN CO.,COUNTYWIDE,04/05/2000,900,Wildfire, , ,0,1,60000,0,MO,CST, ,1093853,C,29,SGF,0,0,PARK/FOREST SERVICE, , , , , , , ,COUNTYWIDE,04/06/2000,800, , , , ,"","The combination of high winds, low humidity, and ongoing drought conditions resulted in 88 wildfires across central and southwest Missouri.  Approximately 7600 acres were burned over the region with Stone, Howell, and Camden Counties the hardest hit. Over 15  seperate blazes occurred in Camden County alone. In Polk County, what started as a small fire at a local business near Brighton grew rapidly due to high winds destroying two buildings and damaging a third. Three firefighters in Stone County were treated for heat related injuries. In Camden County, one firefighter was injured and several structures were damaged or destroyed.",43
5137807,BUTLER CO.,POPLAR BLUFF,04/05/2000,1130,Wildfire, , ,0,0,0,0,MO,CST, ,1093133,C,23,PAH,0,0,NEWSPAPER, , , ,15,NW,15,NW,POPLAR BLUFF,04/05/2000,1500, , , , ,"Very low relative humidity and gusty northwest winds caused rapidly-spreading woods fires in the Mark Twain National Forest. One of the largest fires burned about 130 acres near the intersection of Butler County Road 429 and PP Highway. A Red Flag Warning was in effect due to the anticipated dangerous burning conditions.","",44
5140097,MONROE CO.,FOUR CORNERS,04/05/2000,1900,Wildfire, , ,0,0,25000,0,WI,CST, ,1092968,C,81,ARX,0,0,LAW ENFORCEMENT, , , , , , , ,FOUR CORNERS,04/06/2000,530, , , , ,"","A wildfire, fanned by strong northwest winds gusting to around 55 mph, caused nearly 800 acres to be burned. Homes were evacuated, but none of the structures received damage as fire fighters contained the blaze.",45
